Token,POS,IsNumeric,Label,DocID,PrevToken,NextToken
with,IN,False,I-MERGER,622,merger,Visa
declined,IN,False,I-STOCK,504,shares,by
acquisition,IN,False,I-ACQUISITION,890,the,of
with,IN,False,I-MERGER,40,merger,Goldman Sachs
merger,IN,False,I-MERGER,316,the,between
Oracle,NNP,False,B-MERGER,473,,announced
earnings,IN,False,I-EARNINGS,368,missed,estimates
at,DT,False,O,371,,
with,DT,False,O,438,,
with,DT,False,O,18,,
showing,IN,False,I-EARNINGS,872,earnings,$5.2 billion
fell,IN,False,I-STOCK,790,price,$3.1 billion
for,DT,False,O,604,,
Amazon,NNP,False,I-ACQUISITION,412,acquired,
Google,NNP,False,B-MERGER,673,,confirmed
successfully,IN,False,I-ACQUISITION,136,JPMorgan,purchased
merger,IN,False,I-MERGER,657,in,talks
expectations,IN,False,I-EARNINGS,905,earnings,with
merger,IN,False,I-MERGER,49,its,with
by,DT,False,O,563,,
expectations,IN,False,I-EARNINGS,484,earnings,with
earnings,IN,False,I-EARNINGS,883,missed,estimates
at,DT,False,O,600,,
acquire,IN,False,I-ACQUISITION,476,to,Google
for,DT,False,O,760,,
with,IN,False,I-EARNINGS,26,expectations,$750 million
approved,IN,False,I-MERGER,856,Salesforce,the
the,DT,False,O,337,,
$2.4 billion,CD,True,I-STOCK,992,by,
to,IN,False,I-ACQUISITION,906,talks,acquire
showing,IN,False,I-EARNINGS,747,earnings,$1.3 billion
dropped,IN,False,I-STOCK,495,shares,$450 million
by,DT,False,O,509,,
a,IN,False,I-MERGER,900,announced,merger
approved,IN,False,I-MERGER,361,Netflix,the
ongoing,IN,False,I-MERGER,865,confirmed,merger
confirmed,IN,False,I-MERGER,206,Goldman Sachs,ongoing
merger,IN,False,I-MERGER,828,a,with
in,DT,False,O,968,,
with,DT,False,O,567,,
its,IN,False,I-EARNINGS,482,released,Q4
is,IN,False,I-ACQUISITION,567,Morgan Stanley,in
the,IN,False,I-MERGER,979,approved,merger
Google,NNP,False,B-MERGER,880,,completed
completed,IN,False,I-ACQUISITION,469,PayPal,the
to,IN,False,I-ACQUISITION,823,talks,acquire
of,IN,False,I-EARNINGS,285,earnings,$750 million
missed,IN,False,I-EARNINGS,198,Microsoft,earnings
with,IN,False,I-MERGER,654,merger,Netflix
in,DT,False,O,587,,
$980 million,CD,True,I-STOCK,308,surged,
missed,IN,False,I-EARNINGS,140,Visa,earnings
missed,IN,False,I-EARNINGS,992,IBM,earnings
earnings,IN,False,I-EARNINGS,152,missed,estimates
with,DT,False,O,687,,
$1.3 billion,CD,True,I-EARNINGS,344,by,
Apple,NNP,False,B-MERGER,718,,is
Netflix,NNP,False,B-EARNINGS,800,,beat
in,DT,False,O,30,,
by,IN,False,I-STOCK,241,declined,$980 million
confirmed,IN,False,I-MERGER,711,Netflix,ongoing
on,DT,False,O,421,,
with,IN,False,I-MERGER,836,merger,Goldman Sachs
by,DT,False,O,11,,
shares,IN,False,I-STOCK,371,Google,dropped
Visa,NNP,False,B-MERGER,900,,announced
the,DT,False,O,408,,
with,DT,False,O,338,,
announced,VBD,False,I-MERGER,26,Salesforce,a
Microsoft,NNP,False,B-MERGER,287,,approved
earnings,IN,False,I-EARNINGS,18,beat,expectations
stock,IN,False,I-STOCK,576,Morgan Stanley,price
IBM,NNP,False,B-EARNINGS,491,,announced
merger,IN,False,I-MERGER,28,in,talks
for,DT,False,O,964,,
Intel,NNP,False,B-MERGER,273,,confirmed
$5.2 billion,CD,True,I-STOCK,141,fell,
declined,IN,False,I-STOCK,69,shares,by
for,DT,False,O,436,,
in,DT,False,O,318,,
the,DT,False,O,346,,
in,DT,False,O,316,,
on,DT,False,O,39,,
to,IN,False,I-ACQUISITION,512,plans,acquire
Intel,NNP,False,I-MERGER,278,with,
and,DT,False,O,513,,
Bank of America,NNP,False,I-ACQUISITION,595,of,
revenue,IN,False,I-EARNINGS,441,annual,of
for,DT,False,O,325,,
Amazon,NNP,False,B-EARNINGS,63,,announced
$750 million,CD,True,I-EARNINGS,492,of,
negotiations,IN,False,I-MERGER,206,merger,with
for,DT,False,O,948,,
revenue,IN,False,I-EARNINGS,148,annual,of
with,DT,False,O,152,,
fell,IN,False,I-STOCK,86,price,$3.1 billion
Q4,IN,False,I-EARNINGS,254,its,earnings
in,DT,False,O,828,,
IBM,NNP,False,B-STOCK,482,,stock
on,DT,False,O,173,,
in,IN,False,I-ACQUISITION,405,is,talks
or,DT,False,O,47,,
by,DT,False,O,890,,
or,DT,False,O,215,,
to,IN,False,I-ACQUISITION,566,talks,acquire
or,DT,False,O,214,,
$1.3 billion,CD,True,I-EARNINGS,533,showing,
or,DT,False,O,630,,
shares,IN,False,I-STOCK,336,Facebook,dropped
confirmed,IN,False,I-MERGER,919,Adobe,ongoing
of,IN,False,I-EARNINGS,219,earnings,$5.2 billion
by,IN,False,I-EARNINGS,144,estimates,$450 million
the,DT,False,O,94,,
in,DT,False,O,464,,
on,DT,False,O,41,,
for,DT,False,O,618,,
$450 million,CD,True,I-EARNINGS,76,of,
Tesla,NNP,False,B-MERGER,45,,confirmed
Netflix,NNP,False,I-MERGER,26,with,
declined,IN,False,I-STOCK,476,shares,by
completed,IN,False,I-MERGER,868,Microsoft,its
in,DT,False,O,894,,
by,DT,False,O,564,,
Tesla,NNP,False,B-EARNINGS,945,,beat
Bank of America,NNP,False,I-ACQUISITION,65,acquire,
with,IN,False,I-EARNINGS,327,expectations,$980 million
in,IN,False,I-MERGER,893,is,merger
and,DT,False,O,421,,
the,IN,False,I-MERGER,680,approved,merger
price,IN,False,I-STOCK,708,stock,increased
in,IN,False,I-ACQUISITION,762,is,talks
merger,IN,False,I-MERGER,55,a,with
to,IN,False,I-ACQUISITION,682,talks,acquire
for,DT,False,O,917,,
in,DT,False,O,746,,
for,DT,False,O,649,,
$2.4 billion,CD,True,I-STOCK,747,surged,
or,DT,False,O,939,,
annual,IN,False,I-EARNINGS,456,announced,revenue
to,IN,False,I-ACQUISITION,1000,talks,acquire
missed,IN,False,I-EARNINGS,394,Morgan Stanley,earnings
talks,IN,False,I-ACQUISITION,104,in,to
at,DT,False,O,41,,
in,DT,False,O,342,,
and,DT,False,O,968,,
in,DT,False,O,167,,
Apple,NNP,False,B-EARNINGS,767,,released
of,IN,False,I-ACQUISITION,711,acquisition,Google
PayPal,NNP,False,I-MERGER,477,with,
Citigroup,NNP,False,B-EARNINGS,116,,announced
price,IN,False,I-STOCK,188,stock,increased
Intel,NNP,False,I-ACQUISITION,952,purchased,
announced,VBD,False,I-EARNINGS,95,Morgan Stanley,annual
at,DT,False,O,570,,
confirmed,IN,False,I-MERGER,40,Bank of America,ongoing
estimates,IN,False,I-EARNINGS,733,earnings,by
merger,IN,False,I-MERGER,14,the,between
and,DT,False,O,725,,
announced,VBD,False,I-EARNINGS,242,Bank of America,annual
Netflix,NNP,False,B-ACQUISITION,561,,announced
by,IN,False,I-STOCK,398,increased,$2.4 billion
in,DT,False,O,887,,
Amazon,NNP,False,B-STOCK,64,,shares
acquire,IN,False,I-ACQUISITION,670,to,Amazon
or,DT,False,O,617,,
plans,IN,False,I-ACQUISITION,31,announced,to
for,DT,False,O,681,,
with,DT,False,O,683,,
with,IN,False,I-MERGER,617,talks,Citigroup
is,IN,False,I-MERGER,497,Microsoft,in
Intel,NNP,False,B-ACQUISITION,476,,announced
Facebook,NNP,False,B-EARNINGS,347,,released
revenue,IN,False,I-EARNINGS,72,annual,of
talks,IN,False,I-MERGER,497,merger,with
between,IN,False,I-MERGER,417,merger,Microsoft
acquire,IN,False,I-ACQUISITION,644,to,IBM
or,DT,False,O,104,,
Netflix,NNP,False,I-ACQUISITION,883,acquired,
$15.7 billion,CD,True,I-EARNINGS,475,showing,
in,IN,False,I-MERGER,368,is,merger
$450 million,CD,True,I-EARNINGS,992,by,
Adobe,NNP,False,B-EARNINGS,828,,beat
of,IN,False,I-EARNINGS,622,earnings,$15.7 billion
the,DT,False,O,475,,
between,IN,False,I-MERGER,504,merger,PayPal
annual,IN,False,I-EARNINGS,85,announced,revenue
the,IN,False,I-MERGER,183,approved,merger
of,IN,False,I-ACQUISITION,976,acquisition,Adobe
completed,IN,False,I-ACQUISITION,37,Facebook,the
$15.7 billion,CD,True,I-STOCK,914,dropped,
and,DT,False,O,593,,
shares,IN,False,I-STOCK,878,Apple,declined
Bank of America,NNP,False,I-ACQUISITION,913,acquire,
Facebook,NNP,False,B-STOCK,717,,shares
missed,IN,False,I-EARNINGS,674,Amazon,earnings
price,IN,False,I-STOCK,537,stock,increased
annual,IN,False,I-EARNINGS,484,announced,revenue
the,IN,False,I-MERGER,613,approved,merger
Google,NNP,False,B-EARNINGS,638,,reported
with,DT,False,O,852,,
on,DT,False,O,605,,
by,DT,False,O,249,,
at,DT,False,O,161,,
at,DT,False,O,651,,
by,DT,False,O,78,,
Oracle,NNP,False,I-MERGER,158,with,
on,DT,False,O,446,,
Facebook,NNP,False,B-STOCK,223,,stock
at,DT,False,O,346,,
Apple,NNP,False,I-MERGER,747,with,
for,DT,False,O,66,,
or,DT,False,O,166,,
to,IN,False,I-ACQUISITION,818,talks,acquire
or,DT,False,O,623,,
with,DT,False,O,658,,
earnings,IN,False,I-EARNINGS,689,missed,estimates
$15.7 billion,CD,True,I-EARNINGS,80,of,
Oracle,NNP,False,B-STOCK,351,,stock
with,IN,False,I-EARNINGS,928,expectations,$750 million
announced,VBD,False,I-ACQUISITION,928,Apple,plans
estimates,IN,False,I-EARNINGS,194,earnings,by
for,DT,False,O,264,,
and,DT,False,O,439,,
stock,IN,False,I-STOCK,767,Intel,price
PayPal,NNP,False,I-ACQUISITION,382,acquire,
with,DT,False,O,223,,
announced,VBD,False,I-EARNINGS,222,Netflix,annual
on,DT,False,O,919,,
and,DT,False,O,594,,
by,DT,False,O,303,,
the,DT,False,O,961,,
purchased,IN,False,I-ACQUISITION,572,successfully,Facebook
with,DT,False,O,838,,
or,DT,False,O,688,,
with,IN,False,I-EARNINGS,901,expectations,$1.3 billion
earnings,IN,False,I-EARNINGS,871,Q4,showing
or,DT,False,O,514,,
approved,IN,False,I-MERGER,634,PayPal,the
announced,VBD,False,I-EARNINGS,152,Netflix,annual
with,DT,False,O,504,,
earnings,IN,False,I-EARNINGS,597,beat,expectations
and,DT,False,O,385,,
with,IN,False,I-MERGER,242,merger,Amazon
purchased,IN,False,I-ACQUISITION,274,successfully,Microsoft
the,DT,False,O,20,,
is,IN,False,I-ACQUISITION,705,Citigroup,in
$1.3 billion,CD,True,I-EARNINGS,753,of,
Intel,NNP,False,B-EARNINGS,41,,beat
IBM,NNP,False,B-STOCK,395,,stock
acquisition,IN,False,I-ACQUISITION,623,the,of
at,DT,False,O,622,,
in,IN,False,I-MERGER,775,is,merger
completed,IN,False,I-MERGER,193,Morgan Stanley,its
on,DT,False,O,929,,
on,DT,False,O,688,,
on,DT,False,O,375,,
price,IN,False,I-STOCK,358,stock,fell
Amazon,NNP,False,I-MERGER,871,between,
acquired,VBD,False,I-ACQUISITION,15,Apple,Goldman Sachs
earnings,IN,False,I-EARNINGS,762,quarterly,of
on,DT,False,O,822,,
annual,IN,False,I-EARNINGS,498,announced,revenue
Salesforce,NNP,False,B-STOCK,144,,shares
Visa,NNP,False,B-EARNINGS,606,,reported
shares,IN,False,I-STOCK,170,Goldman Sachs,declined
the,DT,False,O,276,,
between,IN,False,I-MERGER,115,merger,IBM
increased,IN,False,I-STOCK,490,price,by
price,IN,False,I-STOCK,4,stock,increased
expectations,IN,False,I-EARNINGS,160,earnings,with
at,DT,False,O,562,,
missed,IN,False,I-EARNINGS,482,Microsoft,earnings
stock,IN,False,I-STOCK,937,Citigroup,price
of,IN,False,I-ACQUISITION,377,acquisition,Morgan Stanley
$3.1 billion,CD,True,I-EARNINGS,367,of,
by,IN,False,I-STOCK,788,increased,$750 million
missed,IN,False,I-EARNINGS,488,Goldman Sachs,earnings
$5.2 billion,CD,True,I-EARNINGS,314,with,
by,DT,False,O,511,,
for,DT,False,O,528,,
reported,VBD,False,I-EARNINGS,752,Citigroup,quarterly
expectations,IN,False,I-EARNINGS,470,earnings,with
for,DT,False,O,982,,
missed,IN,False,I-EARNINGS,945,Bank of America,earnings
for,DT,False,O,399,,
fell,IN,False,I-STOCK,576,price,$1.3 billion
Facebook,NNP,False,B-EARNINGS,159,,missed
with,IN,False,I-MERGER,775,talks,Goldman Sachs
earnings,IN,False,I-EARNINGS,583,beat,expectations
in,DT,False,O,678,,
earnings,IN,False,I-EARNINGS,777,quarterly,of
on,DT,False,O,966,,
Netflix,NNP,False,B-EARNINGS,234,,announced
acquire,IN,False,I-ACQUISITION,455,to,Adobe
in,DT,False,O,45,,
in,DT,False,O,192,,
expectations,IN,False,I-EARNINGS,196,earnings,with
stock,IN,False,I-STOCK,212,Tesla,surged
JPMorgan,NNP,False,I-MERGER,806,with,
showing,IN,False,I-EARNINGS,416,earnings,$5.2 billion
completed,IN,False,I-ACQUISITION,557,Facebook,the
Tesla,NNP,False,B-MERGER,600,,confirmed
Salesforce,NNP,False,I-MERGER,611,between,
IBM,NNP,False,B-EARNINGS,20,,announced
purchased,IN,False,I-ACQUISITION,789,successfully,Microsoft
surged,IN,False,I-STOCK,730,stock,$2.4 billion
plans,IN,False,I-ACQUISITION,928,announced,to
fell,IN,False,I-STOCK,14,price,$980 million
fell,IN,False,I-STOCK,680,price,$15.7 billion
confirmed,IN,False,I-MERGER,174,Facebook,ongoing
Goldman Sachs,NNP,False,B-MERGER,943,,completed
increased,IN,False,I-STOCK,116,price,by
and,DT,False,O,118,,
successfully,IN,False,I-ACQUISITION,977,Microsoft,purchased
stock,IN,False,I-STOCK,792,JPMorgan,price
PayPal,NNP,False,B-MERGER,137,,approved
missed,IN,False,I-EARNINGS,194,Tesla,earnings
stock,IN,False,I-STOCK,471,Oracle,price
merger,IN,False,I-MERGER,30,in,talks
for,DT,False,O,846,,
Netflix,NNP,False,B-MERGER,121,,confirmed
Oracle,NNP,False,B-EARNINGS,93,,beat
of,IN,False,I-EARNINGS,476,revenue,$750 million
a,IN,False,I-MERGER,65,announced,merger
and,DT,False,O,666,,
at,DT,False,O,929,,
earnings,IN,False,I-EARNINGS,281,beat,expectations
Citigroup,NNP,False,B-STOCK,297,,shares
Citigroup,NNP,False,I-MERGER,491,with,
ongoing,IN,False,I-MERGER,836,confirmed,merger
estimates,IN,False,I-EARNINGS,488,earnings,by
and,DT,False,O,95,,
to,IN,False,I-ACQUISITION,763,talks,acquire
JPMorgan,NNP,False,B-EARNINGS,344,,beat
$980 million,CD,True,I-STOCK,939,dropped,
released,IN,False,I-EARNINGS,323,Tesla,its
the,DT,False,O,301,,
$5.2 billion,CD,True,I-EARNINGS,211,showing,
with,IN,False,I-MERGER,409,talks,Amazon
by,DT,False,O,727,,
Netflix,NNP,False,B-MERGER,474,,completed
Oracle,NNP,False,B-STOCK,618,,stock
Oracle,NNP,False,I-MERGER,273,with,
ongoing,IN,False,I-MERGER,733,confirmed,merger
at,DT,False,O,511,,
of,IN,False,I-EARNINGS,610,revenue,$15.7 billion
on,DT,False,O,688,,
purchased,IN,False,I-ACQUISITION,485,successfully,Microsoft
at,DT,False,O,59,,
reported,VBD,False,I-EARNINGS,641,Salesforce,quarterly
on,DT,False,O,825,,
with,DT,False,O,227,,
Google,NNP,False,B-ACQUISITION,895,,completed
in,DT,False,O,452,,
for,DT,False,O,537,,
by,DT,False,O,950,,
stock,IN,False,I-STOCK,662,Morgan Stanley,surged
and,DT,False,O,27,,
for,DT,False,O,980,,
Adobe,NNP,False,I-ACQUISITION,159,purchased,
$750 million,CD,True,I-EARNINGS,654,with,
between,IN,False,I-MERGER,527,merger,Salesforce
talks,IN,False,I-MERGER,943,merger,with
and,DT,False,O,395,,
surged,IN,False,I-STOCK,700,stock,$750 million
Q4,IN,False,I-EARNINGS,628,its,earnings
with,DT,False,O,487,,
of,IN,False,I-EARNINGS,19,earnings,$5.2 billion
or,DT,False,O,136,,
announced,VBD,False,I-ACQUISITION,699,Intel,plans
beat,IN,False,I-EARNINGS,166,JPMorgan,earnings
the,DT,False,O,646,,
Intel,NNP,False,B-EARNINGS,106,,announced
Google,NNP,False,B-EARNINGS,762,,beat
JPMorgan,NNP,False,I-MERGER,227,with,
Netflix,NNP,False,B-EARNINGS,683,,reported
approved,IN,False,I-MERGER,396,Salesforce,the
$2.4 billion,CD,True,I-EARNINGS,166,of,
stock,IN,False,I-STOCK,515,Tesla,surged
fell,IN,False,I-STOCK,984,price,$15.7 billion
its,IN,False,I-EARNINGS,501,released,Q4
on,DT,False,O,262,,
Tesla,NNP,False,B-STOCK,51,,stock
expectations,IN,False,I-EARNINGS,242,earnings,with
in,DT,False,O,233,,
on,DT,False,O,530,,
Apple,NNP,False,B-EARNINGS,110,,beat
price,IN,False,I-STOCK,767,stock,fell
between,IN,False,I-MERGER,519,merger,IBM
acquire,IN,False,I-ACQUISITION,414,to,Google
a,IN,False,I-MERGER,344,announced,merger
at,DT,False,O,868,,
by,DT,False,O,198,,
for,DT,False,O,556,,
dropped,IN,False,I-STOCK,584,shares,$450 million
$750 million,CD,True,I-STOCK,414,by,
in,IN,False,I-ACQUISITION,836,is,talks
successfully,IN,False,I-ACQUISITION,629,Salesforce,purchased
in,IN,False,I-ACQUISITION,906,is,talks
earnings,IN,False,I-EARNINGS,56,missed,estimates
Facebook,NNP,False,B-ACQUISITION,799,,successfully
by,DT,False,O,882,,
estimates,IN,False,I-EARNINGS,105,earnings,by
stock,IN,False,I-STOCK,505,Google,price
ongoing,IN,False,I-MERGER,63,confirmed,merger
Amazon,NNP,False,B-EARNINGS,509,,beat
and,DT,False,O,483,,
$15.7 billion,CD,True,I-STOCK,359,by,
plans,IN,False,I-ACQUISITION,94,announced,to
IBM,NNP,False,B-MERGER,287,,is
in,DT,False,O,430,,
by,IN,False,I-STOCK,812,increased,$5.2 billion
merger,IN,False,I-MERGER,551,in,talks
$3.1 billion,CD,True,I-EARNINGS,678,showing,
showing,IN,False,I-EARNINGS,981,earnings,$2.4 billion
the,IN,False,I-MERGER,688,approved,merger
in,DT,False,O,933,,
merger,IN,False,I-MERGER,639,the,between
Intel,NNP,False,B-EARNINGS,881,,reported
by,DT,False,O,427,,
Visa,NNP,False,B-MERGER,518,,approved
$3.1 billion,CD,True,I-STOCK,504,by,
stock,IN,False,I-STOCK,237,JPMorgan,surged
with,DT,False,O,825,,
on,DT,False,O,680,,
on,DT,False,O,21,,
reported,VBD,False,I-EARNINGS,166,Visa,quarterly
by,IN,False,I-STOCK,527,increased,$3.1 billion
in,DT,False,O,252,,
of,IN,False,I-EARNINGS,85,revenue,$3.1 billion
Netflix,NNP,False,B-EARNINGS,542,,released
Salesforce,NNP,False,I-ACQUISITION,906,acquire,
purchased,IN,False,I-ACQUISITION,780,successfully,IBM
Bank of America,NNP,False,B-MERGER,680,,confirmed
plans,IN,False,I-ACQUISITION,973,announced,to
acquire,IN,False,I-ACQUISITION,31,to,Intel
with,DT,False,O,786,,
at,DT,False,O,464,,
by,DT,False,O,746,,
$1.3 billion,CD,True,I-STOCK,269,by,
merger,IN,False,I-MERGER,885,the,between
acquisition,IN,False,I-ACQUISITION,213,the,of
completed,IN,False,I-ACQUISITION,140,Intel,the
and,DT,False,O,880,,
its,IN,False,I-EARNINGS,286,released,Q4
and,DT,False,O,476,,
by,DT,False,O,272,,
with,DT,False,O,269,,
Oracle,NNP,False,B-STOCK,1000,,shares
stock,IN,False,I-STOCK,331,PayPal,surged
by,DT,False,O,894,,
by,DT,False,O,246,,
by,DT,False,O,370,,
at,DT,False,O,743,,
the,DT,False,O,273,,
earnings,IN,False,I-EARNINGS,37,beat,expectations
with,DT,False,O,464,,
announced,VBD,False,I-EARNINGS,38,PayPal,annual
successfully,IN,False,I-ACQUISITION,54,PayPal,purchased
merger,IN,False,I-MERGER,17,a,with
announced,VBD,False,I-MERGER,771,Salesforce,a
by,DT,False,O,229,,
or,DT,False,O,349,,
announced,VBD,False,I-MERGER,132,Citigroup,a
or,DT,False,O,968,,
to,IN,False,I-ACQUISITION,670,talks,acquire
Microsoft,NNP,False,B-MERGER,185,,completed
on,DT,False,O,668,,
by,IN,False,I-STOCK,808,increased,$5.2 billion
and,DT,False,O,708,,
$750 million,CD,True,I-STOCK,961,fell,
by,DT,False,O,752,,
in,DT,False,O,726,,
earnings,IN,False,I-EARNINGS,173,beat,expectations
with,DT,False,O,131,,
by,DT,False,O,280,,
the,IN,False,I-MERGER,955,approved,merger
for,DT,False,O,222,,
for,DT,False,O,362,,
Goldman Sachs,NNP,False,B-STOCK,200,,shares
and,DT,False,O,462,,
with,IN,False,I-EARNINGS,573,expectations,$1.3 billion
in,DT,False,O,866,,
talks,IN,False,I-MERGER,867,merger,with
stock,IN,False,I-STOCK,660,Morgan Stanley,surged
by,DT,False,O,991,,
talks,IN,False,I-ACQUISITION,927,in,to
on,DT,False,O,537,,
acquisition,IN,False,I-ACQUISITION,632,the,of
quarterly,IN,False,I-EARNINGS,406,reported,earnings
and,DT,False,O,586,,
plans,IN,False,I-ACQUISITION,199,announced,to
of,IN,False,I-EARNINGS,299,earnings,$15.7 billion
Amazon,NNP,False,B-ACQUISITION,291,,acquired
the,DT,False,O,348,,
or,DT,False,O,693,,
surged,IN,False,I-STOCK,480,stock,$5.2 billion
merger,IN,False,I-MERGER,682,a,with
on,DT,False,O,330,,
or,DT,False,O,43,,
approved,IN,False,I-MERGER,183,JPMorgan,the
Intel,NNP,False,B-MERGER,433,,announced
by,DT,False,O,864,,
in,IN,False,I-ACQUISITION,531,is,talks
price,IN,False,I-STOCK,915,stock,increased
its,IN,False,I-EARNINGS,785,released,Q4
between,IN,False,I-MERGER,639,merger,Netflix
merger,IN,False,I-MERGER,28,a,with
at,DT,False,O,95,,
acquisition,IN,False,I-ACQUISITION,407,the,of
PayPal,NNP,False,B-STOCK,539,,shares
for,DT,False,O,11,,
in,DT,False,O,480,,
or,DT,False,O,197,,
PayPal,NNP,False,B-ACQUISITION,611,,announced
merger,IN,False,I-MERGER,285,its,with
by,DT,False,O,30,,
completed,IN,False,I-MERGER,525,Tesla,its
by,DT,False,O,138,,
$450 million,CD,True,I-EARNINGS,706,with,
Amazon,NNP,False,B-ACQUISITION,460,,acquired
completed,IN,False,I-MERGER,914,Apple,its
is,IN,False,I-ACQUISITION,138,Salesforce,in
Google,NNP,False,B-EARNINGS,479,,missed
Tesla,NNP,False,B-MERGER,82,,confirmed
at,DT,False,O,835,,
Bank of America,NNP,False,I-ACQUISITION,786,purchased,
Amazon,NNP,False,I-ACQUISITION,906,purchased,
between,IN,False,I-MERGER,398,merger,Citigroup
expectations,IN,False,I-EARNINGS,669,earnings,with
Morgan Stanley,NNP,False,B-ACQUISITION,250,,announced
IBM,NNP,False,B-EARNINGS,683,,announced
in,DT,False,O,710,,
is,IN,False,I-MERGER,257,Visa,in
Amazon,NNP,False,B-EARNINGS,609,,released
$5.2 billion,CD,True,I-STOCK,678,by,
showing,IN,False,I-EARNINGS,808,earnings,$2.4 billion
$2.4 billion,CD,True,I-STOCK,640,surged,
Intel,NNP,False,B-MERGER,988,,announced
price,IN,False,I-STOCK,596,stock,increased
completed,IN,False,I-MERGER,364,Oracle,its
announced,VBD,False,I-MERGER,17,Amazon,a
quarterly,IN,False,I-EARNINGS,962,reported,earnings
confirmed,IN,False,I-MERGER,241,Adobe,ongoing
Tesla,NNP,False,I-ACQUISITION,731,purchased,
$1.3 billion,CD,True,I-EARNINGS,667,by,
the,IN,False,I-MERGER,924,approved,merger
on,DT,False,O,358,,
in,DT,False,O,108,,
to,IN,False,I-ACQUISITION,94,talks,acquire
Bank of America,NNP,False,I-ACQUISITION,962,acquired,
with,DT,False,O,748,,
at,DT,False,O,58,,
and,DT,False,O,912,,
or,DT,False,O,850,,
is,IN,False,I-MERGER,408,Morgan Stanley,in
declined,IN,False,I-STOCK,878,shares,by
earnings,IN,False,I-EARNINGS,397,Q4,showing
on,DT,False,O,215,,
with,IN,False,I-MERGER,718,talks,JPMorgan
the,DT,False,O,738,,
is,IN,False,I-ACQUISITION,568,Citigroup,in
and,DT,False,O,482,,
and,DT,False,O,532,,
Q4,IN,False,I-EARNINGS,390,its,earnings
merger,IN,False,I-MERGER,50,the,between
by,DT,False,O,749,,
Tesla,NNP,False,B-ACQUISITION,129,,completed
its,IN,False,I-MERGER,228,completed,merger
by,IN,False,I-STOCK,364,increased,$5.2 billion
by,DT,False,O,825,,
with,IN,False,I-MERGER,228,merger,Bank of America
by,DT,False,O,747,,
with,DT,False,O,665,,
between,IN,False,I-MERGER,583,merger,Microsoft
beat,IN,False,I-EARNINGS,666,Oracle,earnings
$3.1 billion,CD,True,I-EARNINGS,354,with,
the,DT,False,O,718,,
Adobe,NNP,False,I-ACQUISITION,234,purchased,
approved,IN,False,I-MERGER,608,Visa,the
of,IN,False,I-EARNINGS,367,revenue,$3.1 billion
revenue,IN,False,I-EARNINGS,378,annual,of
to,IN,False,I-ACQUISITION,505,talks,acquire
Oracle,NNP,False,B-MERGER,279,,is
on,DT,False,O,962,,
for,DT,False,O,958,,
with,DT,False,O,117,,
or,DT,False,O,596,,
on,DT,False,O,576,,
of,IN,False,I-EARNINGS,943,earnings,$750 million
its,IN,False,I-MERGER,605,completed,merger
$750 million,CD,True,I-EARNINGS,502,by,
JPMorgan,NNP,False,B-STOCK,373,,stock
for,DT,False,O,611,,
Morgan Stanley,NNP,False,B-ACQUISITION,680,,acquired
Apple,NNP,False,B-ACQUISITION,497,,acquired
its,IN,False,I-EARNINGS,175,released,Q4
by,DT,False,O,988,,
with,DT,False,O,978,,
at,DT,False,O,274,,
the,IN,False,I-ACQUISITION,121,completed,acquisition
Goldman Sachs,NNP,False,I-MERGER,697,with,
Netflix,NNP,False,B-EARNINGS,165,,reported
Morgan Stanley,NNP,False,I-MERGER,311,with,
on,DT,False,O,874,,
increased,IN,False,I-STOCK,398,price,by
or,DT,False,O,110,,
$3.1 billion,CD,True,I-EARNINGS,584,of,
by,IN,False,I-STOCK,5,increased,$450 million
for,DT,False,O,644,,
by,DT,False,O,690,,
Adobe,NNP,False,B-ACQUISITION,888,,successfully
Salesforce,NNP,False,B-ACQUISITION,530,,acquired
completed,IN,False,I-ACQUISITION,377,Microsoft,the
of,IN,False,I-EARNINGS,972,earnings,$1.3 billion
$750 million,CD,True,I-STOCK,370,fell,
and,DT,False,O,966,,
is,IN,False,I-MERGER,440,Intel,in
negotiations,IN,False,I-MERGER,111,merger,with
merger,IN,False,I-MERGER,40,a,with
Goldman Sachs,NNP,False,B-EARNINGS,865,,announced
and,DT,False,O,415,,
on,DT,False,O,929,,
the,IN,False,I-MERGER,989,approved,merger
with,DT,False,O,724,,
at,DT,False,O,568,,
stock,IN,False,I-STOCK,5,Salesforce,price
plans,IN,False,I-ACQUISITION,55,announced,to
earnings,IN,False,I-EARNINGS,488,missed,estimates
or,DT,False,O,679,,
its,IN,False,I-EARNINGS,347,released,Q4
with,IN,False,I-MERGER,706,merger,Tesla
with,IN,False,I-MERGER,160,negotiations,Amazon
reported,VBD,False,I-EARNINGS,561,Apple,quarterly
showing,IN,False,I-EARNINGS,170,earnings,$2.4 billion
completed,IN,False,I-ACQUISITION,672,PayPal,the
Goldman Sachs,NNP,False,B-STOCK,987,,shares
of,IN,False,I-ACQUISITION,238,acquisition,Facebook
Salesforce,NNP,False,I-MERGER,780,with,
with,IN,False,I-EARNINGS,796,expectations,$450 million
Goldman Sachs,NNP,False,I-ACQUISITION,349,purchased,
stock,IN,False,I-STOCK,986,IBM,surged
at,DT,False,O,528,,
in,DT,False,O,452,,
its,IN,False,I-EARNINGS,565,released,Q4
stock,IN,False,I-STOCK,407,Amazon,price
Apple,NNP,False,I-MERGER,106,with,
